Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
177,47,2,200,20230918,18/9/2023,"0,027","0,001","0,055","0,007","0,098","0,009","0,102","0,016","0,170","0,012","0,263","0,022","0,313","0,028","0,360","0,050","0,338","0,021","0,558","0,073"
104,48,1,100,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,071","0,005","0,047","0,002","0,093","0,004","0,202","0,012","0,262","0,009","0,255","0,042","0,258","0,006","0,688","0,044"
104,48,1,200,20230711,11/7/2023,"0,022","0,000","0,040","0,002","0,077","0,006","0,052","0,004","0,099","0,004","0,217","0,013","0,272","0,009","0,304","0,038","0,268","0,006","0,708","0,036"
104,48,1,100,20230718,18/7/2023,"0,012","0,004","0,031","0,004","0,066","0,006","0,036","0,003","0,092","0,007","0,232","0,013","0,323","0,016","0,318","0,028","0,321","0,013","0,798","0,022"
104,48,1,200,20230718,18/7/2023,"0,011","0,005","0,032","0,004","0,066","0,005","0,039","0,004","0,094","0,007","0,229","0,016","0,321","0,019","0,307","0,033","0,318","0,016","0,776","0,029"
104,48,1,100,20230808,8/8/2023,"0,024","0,003","0,020","0,004","0,059","0,011","0,025","0,004","0,099","0,001","0,315","0,037","0,402","0,038","0,423","0,047","0,418","0,037","0,888","0,019"
104,48,1,200,20230808,8/8/2023,"0,022","0,002","0,017","0,004","0,054","0,013","0,021","0,003","0,099","0,001","0,310","0,073","0,403","0,074","0,419","0,098","0,424","0,078","0,903","0,025"
104,48,1,100,20230825,25/8/2023,"0,029","0,003","0,022","0,007","0,060","0,012","0,032","0,005","0,107","0,004","0,235","0,025","0,292","0,030","0,282","0,036","0,300","0,023","0,795","0,035"
104,48,1,200,20230825,25/8/2023,"0,037","0,009","0,049","0,028","0,112","0,050","0,065","0,033","0,133","0,023","0,340","0,069","0,413","0,051","0,435","0,058","0,386","0,039","0,739","0,119"
104,48,1,100,20230907,7/9/2023,"0,046","0,001","0,048","0,018","0,089","0,027","0,069","0,027","0,150","0,030","0,296","0,032","0,358","0,034","0,368","0,038","0,441","0,055","0,686","0,109"
104,48,1,200,20230907,7/9/2023,"0,046","0,001","0,049","0,011","0,084","0,018","0,073","0,015","0,145","0,020","0,256","0,021","0,302","0,024","0,298","0,026","0,338","0,039","0,607","0,072"
104,48,1,100,20230918,18/9/2023,"0,027","0,001","0,051","0,006","0,092","0,007","0,092","0,013","0,162","0,010","0,251","0,020","0,303","0,028","0,330","0,047","0,328","0,019","0,564","0,068"
104,48,1,200,20230918,18/9/2023,"0,027","0,001","0,053","0,007","0,093","0,007","0,100","0,017","0,163","0,010","0,233","0,017","0,271","0,021","0,277","0,035","0,305","0,015","0,469","0,083"
1219,49,4,100,20230711,11/7/2023,"0,022","0,000","0,039","0,002","0,072","0,005","0,052","0,003","0,094","0,003","0,190","0,012","0,252","0,008","0,205","0,035","0,251","0,005","0,599","0,056"
1219,49,4,200,20230711,11/7/2023,"0,022","0,000","0,038","0,003","0,072","0,007","0,049","0,003","0,093","0,004","0,199","0,016","0,258","0,011","0,238","0,048","0,257","0,007","0,661","0,059"
1219,49,4,100,20230718,18/7/2023,"0,020","0,005","0,036","0,003","0,069","0,006","0,039","0,002","0,095","0,007","0,232","0,012","0,320","0,013","0,309","0,022","0,318","0,011","0,774","0,019"
1219,49,4,200,20230718,18/7/2023,"0,018","0,006","0,035","0,005","0,067","0,006","0,039","0,003","0,093","0,008","0,226","0,020","0,316","0,022","0,298","0,039","0,313","0,020","0,766","0,032"
1219,49,4,100,20230808,8/8/2023,"0,023","0,001","0,019","0,002","0,054","0,006","0,024","0,002","0,098","0,001","0,281","0,026","0,350","0,024","0,348","0,030","0,361","0,023","0,871","0,014"
1219,49,4,200,20230808,8/8/2023,"0,024","0,002","0,020","0,003","0,058","0,007","0,024","0,002","0,099","0,001","0,321","0,044","0,416","0,050","0,444","0,067","0,434","0,050","0,899","0,017"
1219,49,4,100,20230825,25/8/2023,"0,034","0,003","0,037","0,009","0,086","0,016","0,053","0,006","0,121","0,007","0,291","0,032","0,362","0,040","0,377","0,046","0,365","0,030","0,755","0,037"
1219,49,4,200,20230825,25/8/2023,"0,037","0,005","0,045","0,015","0,096","0,026","0,049","0,011","0,120","0,010","0,302","0,049","0,380","0,063","0,395","0,076","0,374","0,049","0,780","0,057"
1219,49,4,100,20230907,7/9/2023,"0,046","0,001","0,053","0,014","0,097","0,027","0,086","0,024","0,162","0,029","0,270","0,025","0,322","0,024","0,331","0,028","0,379","0,043","0,587","0,096"
1219,49,4,200,20230907,7/9/2023,"0,046","0,000","0,054","0,008","0,096","0,012","0,087","0,013","0,160","0,015","0,267","0,016","0,318","0,018","0,323","0,021","0,373","0,031","0,578","0,054"
1219,49,4,100,20230918,18/9/2023,"0,026","0,002","0,061","0,009","0,100","0,010","0,125","0,026","0,176","0,014","0,243","0,019","0,283","0,025","0,291","0,043","0,316","0,018","0,400","0,107"
1219,49,4,200,20230918,18/9/2023,"0,025","0,001","0,064","0,008","0,105","0,008","0,135","0,019","0,181","0,011","0,252","0,015","0,293","0,018","0,321","0,030","0,323","0,013","0,408","0,071"
1225,50,4,100,20230711,11/7/2023,"0,022","0,000","0,039","0,002","0,074","0,005","0,051","0,003","0,095","0,003","0,192","0,010","0,253","0,007","0,213","0,029","0,253","0,004","0,611","0,048"
1225,50,4,200,20230711,11/7/2023,"0,022","0,000","0,038","0,002","0,074","0,006","0,047","0,002","0,095","0,003","0,202","0,016","0,260","0,011","0,249","0,048","0,258","0,007","0,679","0,053"
1225,50,4,100,20230718,18/7/2023,"0,015","0,003","0,032","0,003","0,068","0,006","0,036","0,003","0,095","0,007","0,236","0,011","0,325","0,012","0,319","0,020","0,323","0,010","0,798","0,018"
1225,50,4,200,20230718,18/7/2023,"0,015","0,004","0,035","0,004","0,071","0,006","0,040","0,003","0,099","0,008","0,228","0,019","0,317","0,021","0,298","0,036","0,313","0,018","0,765","0,029"
1225,50,4,100,20230808,8/8/2023,"0,022","0,001","0,017","0,002","0,050","0,005","0,024","0,001","0,098","0,001","0,287","0,032","0,367","0,030","0,373","0,037","0,382","0,030","0,881","0,013"
1225,50,4,200,20230808,8/8/2023,"0,024","0,002","0,020","0,002","0,057","0,007","0,024","0,002","0,099","0,001","0,332","0,035","0,424","0,039","0,453","0,050","0,444","0,039","0,901","0,014"
1225,50,4,100,20230825,25/8/2023,"0,031","0,002","0,026","0,006","0,063","0,011","0,042","0,004","0,110","0,004","0,251","0,028","0,318","0,039","0,321","0,047","0,328","0,028","0,770","0,037"
1225,50,4,200,20230825,25/8/2023,"0,033","0,003","0,032","0,008","0,071","0,015","0,040","0,006","0,111","0,006","0,254","0,028","0,316","0,035","0,316","0,042","0,323","0,028","0,775","0,040"
1225,50,4,100,20230907,7/9/2023,"0,045","0,001","0,043","0,012","0,079","0,020","0,066","0,017","0,140","0,022","0,267","0,024","0,323","0,024","0,331","0,025","0,384","0,039","0,667","0,073"
1225,50,4,200,20230907,7/9/2023,"0,045","0,001","0,045","0,009","0,079","0,016","0,067","0,011","0,138","0,017","0,255","0,020","0,305","0,021","0,306","0,024","0,348","0,034","0,640","0,053"
1225,50,4,100,20230918,18/9/2023,"0,027","0,001","0,053","0,004","0,093","0,005","0,100","0,010","0,165","0,007","0,240","0,014","0,282","0,017","0,291","0,030","0,316","0,012","0,486","0,055"
1225,50,4,200,20230918,18/9/2023,"0,026","0,001","0,056","0,006","0,095","0,006","0,111","0,012","0,167","0,008","0,233","0,015","0,269","0,018","0,277","0,031","0,306","0,013","0,427","0,062"
1201,51,4,100,20230711,11/7/2023,"0,022","0,001","0,040","0,005","0,072","0,006","0,054","0,007","0,094","0,004","0,191","0,011","0,253","0,007","0,213","0,034","0,253","0,005","0,593","0,064"
1201,51,4,200,20230711,11/7/2023,"0,023","0,000","0,042","0,005","0,074","0,007","0,057","0,006","0,100","0,004","0,193","0,007","0,253","0,006","0,216","0,032","0,254","0,003","0,581","0,060"
1201,51,4,100,20230718,18/7/2023,"0,013","0,003","0,031","0,003","0,062","0,005","0,038","0,004","0,087","0,006","0,216","0,012","0,302","0,015","0,280","0,023","0,303","0,013","0,761","0,027"
1201,51,4,200,20230718,18/7/2023,"0,009","0,003","0,029","0,003","0,059","0,005","0,035","0,002","0,084","0,006","0,205","0,017","0,292","0,020","0,255","0,035","0,292","0,018","0,756","0,032"
1201,51,4,100,20230808,8/8/2023,"0,022","0,001","0,016","0,002","0,045","0,005","0,022","0,002","0,097","0,001","0,245","0,034","0,323","0,041","0,314","0,049","0,340","0,037","0,870","0,021"
1201,51,4,200,20230808,8/8/2023,"0,023","0,002","0,018","0,003","0,050","0,007","0,023","0,004","0,098","0,001","0,294","0,034","0,392","0,033","0,415","0,042","0,411","0,035","0,893","0,019"
1201,51,4,100,20230825,25/8/2023,"0,034","0,004","0,036","0,012","0,087","0,023","0,049","0,011","0,122","0,011","0,336","0,046","0,426","0,040","0,455","0,045","0,416","0,025","0,804","0,043"
1201,51,4,200,20230825,25/8/2023,"0,029","0,002","0,023","0,005","0,057","0,009","0,032","0,003","0,106","0,003","0,247","0,022","0,321","0,033","0,323","0,040","0,326","0,026","0,822","0,026"
1201,51,4,100,20230907,7/9/2023,"0,045","0,000","0,043","0,007","0,079","0,013","0,065","0,012","0,138","0,013","0,273","0,017","0,338","0,020","0,343","0,023","0,400","0,034","0,682","0,053"
1201,51,4,200,20230907,7/9/2023,"0,045","0,001","0,043","0,008","0,077","0,014","0,064","0,011","0,137","0,016","0,275","0,023","0,336","0,024","0,341","0,027","0,398","0,041","0,685","0,050"
1201,51,4,100,20230918,18/9/2023,"0,028","0,001","0,051","0,005","0,091","0,006","0,096","0,012","0,162","0,009","0,241","0,021","0,286","0,028","0,295","0,048","0,316","0,020","0,507","0,076"
1201,51,4,200,20230918,18/9/2023,"0,027","0,001","0,053","0,006","0,094","0,008","0,099","0,013","0,163","0,009","0,249","0,019","0,297","0,024","0,320","0,041","0,322","0,016","0,528","0,065"
1118,52,3,100,20230711,11/7/2023,"0,022","0,000","0,037","0,001","0,067","0,005","0,049","0,002","0,090","0,003","0,183","0,011","0,248","0,008","0,193","0,034","0,250","0,005","0,594","0,057"
1118,52,3,200,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,071","0,005","0,047","0,002","0,094","0,003","0,202","0,009","0,261","0,007","0,245","0,027","0,259","0,004","0,679","0,032"
1118,52,3,100,20230718,18/7/2023,"0,012","0,004","0,030","0,003","0,061","0,005","0,034","0,002","0,085","0,006","0,224","0,012","0,315","0,015","0,301","0,025","0,314","0,012","0,796","0,019"
1118,52,3,200,20230718,18/7/2023,"0,009","0,004","0,028","0,003","0,060","0,005","0,034","0,002","0,085","0,006","0,216","0,017","0,306","0,018","0,279","0,030","0,305","0,017","0,780","0,024"
1118,52,3,100,20230808,8/8/2023,"0,022","0,001","0,016","0,002","0,048","0,005","0,022","0,003","0,098","0,001","0,293","0,027","0,390","0,025","0,405","0,032","0,404","0,024","0,896","0,017"
1118,52,3,200,20230808,8/8/2023,"0,021","0,001","0,015","0,002","0,046","0,006","0,019","0,001","0,098","0,001","0,299","0,035","0,407","0,034","0,433","0,043","0,429","0,035","0,916","0,010"
1118,52,3,100,20230825,25/8/2023,"0,029","0,002","0,021","0,006","0,056","0,011","0,034","0,004","0,106","0,005","0,235","0,038","0,298","0,055","0,292","0,067","0,310","0,044","0,790","0,048"
1118,52,3,200,20230825,25/8/2023,"0,031","0,002","0,028","0,006","0,066","0,011","0,037","0,004","0,109","0,004","0,256","0,028","0,327","0,039","0,330","0,048","0,332","0,031","0,798","0,034"
1118,52,3,100,20230907,7/9/2023,"0,046","0,001","0,051","0,010","0,092","0,015","0,079","0,016","0,158","0,016","0,302","0,017","0,367","0,015","0,380","0,017","0,463","0,026","0,655","0,059"
1118,52,3,200,20230907,7/9/2023,"0,046","0,001","0,054","0,010","0,092","0,013","0,082","0,014","0,154","0,015","0,273","0,013","0,328","0,015","0,330","0,016","0,384","0,024","0,602","0,058"
1118,52,3,100,20230918,18/9/2023,"0,026","0,001","0,058","0,006","0,095","0,007","0,119","0,015","0,170","0,009","0,237","0,015","0,275","0,020","0,284","0,035","0,313","0,015","0,410","0,074"
1118,52,3,200,20230918,18/9/2023,"0,026","0,001","0,058","0,006","0,095","0,006","0,117","0,013","0,168","0,009","0,231","0,015","0,267","0,018","0,270","0,032","0,303","0,013","0,395","0,069"
