Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
109,185,1,100,20230808,8/8/2023,"0,032","0,003","0,033","0,005","0,086","0,011","0,044","0,007","0,102","0,001","0,371","0,024","0,427","0,021","0,455","0,025","0,447","0,020","0,822","0,029"
109,185,1,100,20230825,25/8/2023,"0,039","0,004","0,054","0,012","0,105","0,018","0,069","0,013","0,127","0,007","0,265","0,022","0,312","0,024","0,307","0,029","0,321","0,019","0,631","0,062"
109,185,1,100,20230907,7/9/2023,"0,047","0,002","0,067","0,022","0,098","0,031","0,118","0,036","0,167","0,036","0,243","0,030","0,287","0,028","0,282","0,031","0,317","0,048","0,410","0,134"
109,185,1,100,20230918,18/9/2023,"0,026","0,002","0,057","0,007","0,092","0,007","0,113","0,014","0,161","0,008","0,209","0,013","0,236","0,014","0,212","0,025","0,281","0,011","0,307","0,078"
109,185,1,200,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,075","0,005","0,047","0,002","0,097","0,004","0,238","0,011","0,292","0,009","0,402","0,038","0,282","0,006","0,792","0,020"
109,185,1,200,20230718,18/7/2023,"0,011","0,004","0,032","0,004","0,067","0,006","0,038","0,004","0,095","0,007","0,239","0,019","0,344","0,022","0,359","0,038","0,339","0,020","0,810","0,025"
109,185,1,200,20230808,8/8/2023,"0,028","0,003","0,025","0,005","0,069","0,012","0,032","0,005","0,100","0,001","0,343","0,035","0,416","0,033","0,441","0,039","0,445","0,031","0,865","0,022"
109,185,1,200,20230825,25/8/2023,"0,036","0,005","0,044","0,019","0,080","0,032","0,073","0,033","0,121","0,018","0,221","0,052","0,262","0,060","0,257","0,076","0,290","0,056","0,558","0,188"
109,185,1,200,20230907,7/9/2023,"0,049","0,001","0,081","0,022","0,105","0,025","0,137","0,036","0,173","0,029","0,241","0,020","0,283","0,018","0,275","0,021","0,314","0,032","0,333","0,120"
109,185,1,200,20230918,18/9/2023,"0,020","0,002","0,086","0,009","0,116","0,009","0,170","0,018","0,190","0,010","0,250","0,014","0,288","0,018","0,305","0,028","0,317","0,013","0,284","0,065"
178,186,2,100,20230711,11/7/2023,"0,021","0,000","0,034","0,001","0,060","0,003","0,045","0,002","0,085","0,002","0,186","0,009","0,254","0,008","0,219","0,033","0,253","0,005","0,659","0,044"
178,186,2,100,20230718,18/7/2023,"0,007","0,004","0,026","0,003","0,055","0,004","0,031","0,002","0,079","0,004","0,218","0,010","0,320","0,015","0,315","0,025","0,320","0,012","0,819","0,018"
178,186,2,100,20230808,8/8/2023,"0,022","0,001","0,017","0,002","0,044","0,004","0,024","0,002","0,098","0,000","0,254","0,028","0,347","0,029","0,350","0,039","0,361","0,029","0,870","0,018"
178,186,2,100,20230825,25/8/2023,"0,028","0,002","0,020","0,006","0,051","0,009","0,035","0,004","0,104","0,004","0,202","0,022","0,245","0,028","0,227","0,033","0,267","0,022","0,730","0,043"
178,186,2,100,20230907,7/9/2023,"0,046","0,001","0,049","0,011","0,079","0,016","0,084","0,019","0,146","0,020","0,265","0,022","0,319","0,026","0,324","0,029","0,376","0,044","0,590","0,081"
178,186,2,100,20230918,18/9/2023,"0,027","0,001","0,055","0,006","0,093","0,006","0,105","0,013","0,164","0,008","0,249","0,015","0,300","0,022","0,329","0,036","0,327","0,015","0,514","0,062"
178,186,2,200,20230711,11/7/2023,"0,022","0,000","0,035","0,001","0,062","0,004","0,046","0,002","0,087","0,002","0,193","0,011","0,259","0,009","0,242","0,038","0,258","0,006","0,678","0,045"
178,186,2,200,20230718,18/7/2023,"0,004","0,004","0,025","0,003","0,052","0,003","0,033","0,002","0,076","0,003","0,205","0,014","0,303","0,017","0,280","0,030","0,304","0,017","0,788","0,023"
178,186,2,200,20230808,8/8/2023,"0,021","0,001","0,014","0,002","0,039","0,004","0,020","0,002","0,097","0,000","0,244","0,026","0,342","0,028","0,343","0,033","0,360","0,027","0,891","0,014"
178,186,2,200,20230825,25/8/2023,"0,028","0,003","0,020","0,008","0,050","0,015","0,032","0,010","0,106","0,007","0,220","0,043","0,294","0,064","0,290","0,076","0,298","0,050","0,801","0,072"
178,186,2,200,20230907,7/9/2023,"0,045","0,001","0,042","0,008","0,072","0,011","0,071","0,011","0,138","0,014","0,254","0,014","0,306","0,014","0,303","0,015","0,353","0,024","0,623","0,050"
178,186,2,200,20230918,18/9/2023,"0,028","0,001","0,051","0,005","0,090","0,006","0,097","0,011","0,160","0,008","0,237","0,016","0,281","0,020","0,294","0,035","0,313","0,015","0,504","0,061"
1134,187,3,100,20230711,11/7/2023,"0,022","0,000","0,035","0,001","0,061","0,003","0,047","0,002","0,086","0,002","0,184","0,009","0,252","0,008","0,210","0,034","0,252","0,005","0,632","0,050"
1134,187,3,100,20230718,18/7/2023,"0,006","0,003","0,025","0,003","0,053","0,003","0,032","0,002","0,077","0,003","0,215","0,009","0,315","0,012","0,307","0,022","0,315","0,011","0,813","0,016"
1134,187,3,100,20230808,8/8/2023,"0,021","0,001","0,014","0,001","0,041","0,003","0,021","0,001","0,097","0,000","0,228","0,021","0,316","0,024","0,313","0,032","0,335","0,024","0,873","0,014"
1134,187,3,100,20230825,25/8/2023,"0,029","0,002","0,023","0,005","0,058","0,008","0,040","0,005","0,109","0,004","0,226","0,021","0,278","0,028","0,269","0,034","0,295","0,022","0,739","0,038"
1134,187,3,100,20230907,7/9/2023,"0,046","0,001","0,048","0,009","0,079","0,013","0,085","0,017","0,149","0,017","0,262","0,014","0,314","0,015","0,320","0,016","0,367","0,025","0,579","0,067"
1134,187,3,100,20230918,18/9/2023,"0,026","0,002","0,055","0,008","0,092","0,008","0,108","0,018","0,165","0,010","0,235","0,015","0,276","0,019","0,283","0,034","0,311","0,014","0,446","0,082"
1134,187,3,200,20230711,11/7/2023,"0,021","0,000","0,033","0,002","0,059","0,004","0,044","0,002","0,086","0,003","0,201","0,011","0,268","0,009","0,286","0,039","0,265","0,006","0,734","0,033"
1134,187,3,200,20230718,18/7/2023,"0,002","0,003","0,023","0,003","0,051","0,003","0,031","0,002","0,077","0,003","0,203","0,021","0,304","0,030","0,286","0,056","0,305","0,029","0,803","0,037"
1134,187,3,200,20230808,8/8/2023,"0,020","0,001","0,013","0,001","0,039","0,003","0,019","0,001","0,097","0,000","0,252","0,027","0,359","0,031","0,367","0,037","0,383","0,029","0,900","0,011"
1134,187,3,200,20230825,25/8/2023,"0,033","0,003","0,036","0,008","0,075","0,013","0,062","0,012","0,119","0,006","0,258","0,024","0,321","0,032","0,328","0,039","0,336","0,026","0,684","0,059"
1134,187,3,200,20230907,7/9/2023,"0,046","0,001","0,056","0,011","0,082","0,013","0,095","0,016","0,149","0,016","0,242","0,014","0,288","0,015","0,283","0,016","0,319","0,025","0,499","0,067"
1134,187,3,200,20230918,18/9/2023,"0,026","0,002","0,058","0,007","0,094","0,007","0,111","0,014","0,164","0,008","0,230","0,013","0,266","0,016","0,267","0,027","0,303","0,011","0,413","0,067"
1129,188,3,100,20230711,11/7/2023,"0,022","0,000","0,038","0,002","0,068","0,004","0,052","0,003","0,092","0,003","0,193","0,012","0,256","0,009","0,224","0,042","0,254","0,006","0,625","0,060"
1129,188,3,100,20230718,18/7/2023,"0,014","0,003","0,032","0,003","0,063","0,005","0,038","0,003","0,089","0,006","0,223","0,011","0,316","0,014","0,307","0,024","0,316","0,011","0,777","0,020"
1129,188,3,100,20230808,8/8/2023,"0,022","0,001","0,017","0,002","0,050","0,005","0,023","0,002","0,098","0,001","0,272","0,026","0,354","0,028","0,357","0,034","0,369","0,027","0,880","0,014"
1129,188,3,100,20230825,25/8/2023,"0,034","0,003","0,034","0,008","0,077","0,013","0,044","0,005","0,115","0,005","0,270","0,023","0,333","0,028","0,337","0,033","0,341","0,023","0,767","0,032"
1129,188,3,100,20230907,7/9/2023,"0,046","0,000","0,049","0,006","0,093","0,010","0,070","0,010","0,158","0,012","0,302","0,012","0,360","0,012","0,372","0,013","0,442","0,020","0,681","0,038"
